trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-187.8440715147894,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-139.04845505028135,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-154.52444829172063,"{0: 14, 1: 8, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-15.723522178133955,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-31.04730791862654,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-123.12516836560465,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-90.1621530290422,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,9,-72.56703562702883,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,3,-107.74780153491342,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-133.5235150061075,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,9,-83.38539537052272,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-68.78013318130525,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-121.64288930433663,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-180.02619419815397,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-126.32368732610252,"{0: 15, 1: 8, 2: 4, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-167.8805643625243,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-130.82363715067947,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-128.77448173057118,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-166.2016732965413,"{0: 20, 1: 8, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,4,-114.83017225176623,"{0: 8, 1: 0, 2: 5, 3: 2, 4: 1}",1
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",30,0,-213.8841421072568,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
