trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-72.78869864644467,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.01394172996734,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.88350497051485,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-272.2965092617559,"{0: 13, 1: 3, 2: 9, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.57785650088122,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.47694388182407,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.8835874458642,"{0: 9, 1: 6, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.53626880224871,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.39658550374708,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,5,-108.8808425523461,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,10,-17.781998546786728,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.63114436972968,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.16502500588858,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.33638327665652,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-9.801886169913967,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.88203002894484,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.46202821978795,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-86.69807058521992,"{0: 18, 1: 3, 2: 9, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.13741054270301,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,16,-50.44107038930621,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-185.8981378209555,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.9212767791231,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-202.25325680040982,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-109.11871397358954,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-296.82826714719135,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.00451974940097,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.5423227906814,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.67649072591752,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-259.6257989141957,"{0: 12, 1: 8, 2: 5, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-177.50957529521224,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
